"ICT산업별(1)",ICT산업별(2),2017 p),2017 p),2017 p),2017 p),2017 p),2018 p),2018 p),2018 p),2018 p),2018 p),2019 p),2019 p),2019 p),2019 p),2019 p),2020 p),2020 p),2020 p),2020 p),2020 p),2021 p),2021 p),2021 p),2021 p),2021 p),2022 p),2022 p),2022 p),2022 p),2022 p),2023 p),2023 p),2023 p),2023 p),2023 p),2024 p),2024 p),2024 p),2024 p),2024 p)
"ICT산업별(1)",ICT산업별(2),합계,연구기술직,사무관리직,방송직,생산직,합계,연구기술직,사무관리직,방송직,생산직,합계,연구기술직,사무관리직,방송직,생산직,합계,연구기술직,사무관리직,방송직,생산직,합계,연구기술직,사무관리직,방송직,생산직,합계,연구기술직,사무관리직,방송직,생산직,합계,연구기술직,사무관리직,방송직,생산직,합계,연구기술직,사무관리직,방송직,생산직
"합계",소계,958141,274964,338596,13160,331421,971082,279779,349716,17110,324477,1001009,229207,430492,18200,323110,983032,189865,460225,20107,312835,1012473,204696,449914,21798,336065,1084967,204340,510004,22545,348078,1150498,241926,541222,19445,347905,1210761,290750,572579,18395,329037
"정보통신방송기기업",소계,572159,59472,184057,-,328630,563431,54965,189704,-,318762,562727,60569,189353,-,312805,551977,54136,196578,-,301263,569315,53543,194258,-,321514,593870,57121,201386,-,335363,592418,59170,198314,578,334356,578522,73781,187388,124,317229
"정보통신방송기기업",전자부품업,316833,20346,94481,-,202006,311957,19082,98632,-,194243,309071,21013,95854,-,192204,302264,23619,96617,-,182028,312804,22738,97991,-,192075,325448,23926,102384,-,199138,313889,23848,94495,-,195546,316308,32969,91604,-,191734
"정보통신방송기기업",컴퓨터 및 주변기기업,8899,1743,3523,-,3633,8722,1716,3760,-,3246,8522,1646,3552,-,3324,7966,2198,3404,-,2364,7438,1779,3085,-,2574,8028,1891,3290,-,2847,8126,1620,3964,-,2542,7937,1885,3711,-,2341
"정보통신방송기기업",통신 및 방송기기업,55358,15448,13698,-,26212,54842,13368,15939,-,25535,51001,12429,14918,-,23654,49699,3594,21057,-,25048,50015,3621,21113,-,25281,50273,3263,19803,-,27207,45640,4697,15179,578,25186,43117,6077,18006,90,18944
"정보통신방송기기업",영상 및 음향기기업,19248,1567,8543,-,9138,14260,1477,5535,-,7248,13987,1456,5351,-,7180,10988,578,5553,-,4857,10671,568,5325,-,4778,10661,790,5186,-,4685,8201,1141,2712,-,4349,7506,927,3236,34,3308
"정보통신방송기기업",정보통신응용기반기기업,171821,20368,63812,-,87641,173650,19322,65838,-,88490,180146,24025,69678,-,86443,181060,24147,69947,-,86966,188387,24837,66744,-,96806,199460,27251,70723,-,101486,216562,27864,81964,-,106734,203654,31922,70830,-,100902
"정보통신방송서비스업",소계,106412,23057,67845,13160,2350,119195,21458,77735,17110,2892,125669,13811,91480,18200,2178,126206,13180,90829,20107,2090,127148,11101,91671,21798,2578,127384,11651,90794,22545,2394,137934,16815,99416,18867,2836,137351,19882,93755,18271,5444
"정보통신방송서비스업",통신서비스업,37642,14602,22806,-,234,44965,12619,32250,-,96,41905,4828,35000,-,2077,39648,4608,33189,-,1851,38417,3982,32289,-,2146,38196,4017,32250,-,1929,39688,6683,30771,25,2209,39358,7234,30202,-,1922
"정보통신방송서비스업",방송서비스업,31982,1774,17048,13160,-,33233,2275,13848,17110,-,40599,3715,18684,18200,-,39289,2732,16450,20107,-,39901,2100,16003,21798,-,39444,1875,15024,22545,-,38038,3329,16048,18661,-,38290,4474,12798,18056,2963
"정보통신방송서비스업",정보서비스업,36788,6681,27991,-,2116,40997,6564,31637,-,2796,43165,5268,37796,-,101,47269,5840,41190,-,239,48830,5019,43379,-,432,49744,5759,43520,-,465,60208,6803,52597,181,627,59703,8174,50755,215,559
"소프트웨어 개발 및 제작업",소계,279570,192435,86694,-,441,288456,203356,82277,-,2823,312613,154827,149659,-,8127,304849,122549,172818,-,9482,316010,140052,163985,-,11973,363713,135568,217824,-,10321,420145,165940,243492,-,10713,423857,166457,252561,-,4839
"소프트웨어 개발 및 제작업",패키지 소프트웨어 개발 및 공급업,138178,93841,43896,-,441,143594,93406,49512,-,676,160800,101625,55124,-,4051,119009,68696,45903,-,4410,124593,64497,54865,-,5231,139330,46321,89325,-,3684,172222,55772,111493,-,4957,171427,55335,111466,-,4626
"소프트웨어 개발 및 제작업",게임 소프트웨어 개발 및 공급업,37878,23306,14572,-,-,38298,23875,14023,-,400,42499,19095,23158,-,246,41586,15059,26527,-,-,42880,21044,21782,-,54,43117,22367,20750,-,-,48572,26037,22536,-,-,48378,26744,21634,-,-
"소프트웨어 개발 및 제작업",IT 서비스 제공업,103514,75288,28226,-,-,106564,86075,18742,-,1747,109314,34107,71377,-,3830,144254,38794,100388,-,5072,148537,54511,87338,-,6688,181266,66880,107749,-,6637,199351,84132,109463,-,5756,204052,84378,119461,-,213
"정보통신방송인프라서비스업",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71031,30631,38876,-,1524
